"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"2","fd-24985230","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-24985230.html","clean","390","13  ",NA,NA,NA,NA,"31500","28","24"
"3","fd-36763947","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36763947.html","clean","475","18  ",NA,NA," 1",NA,"31400","08","20"
"4","fd-38737450","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38737450.html","clean","480","23  ",NA,NA," 2","1970","31000","75","11"
"5","fd-38819690","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38819690.html","clean","442","18  ",NA,NA,NA,"1988","31400","76","10"
"6","fd-39721295","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39721295.html","clean","448","27  ",NA,NA," 2","1971","31400","28","53"
"7","fd-39719454","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39719454.html","clean","489","22  ",NA,NA," 2","1983","31200","23","15"
"8","fd-39714853","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39714853.html","clean","500","18  ",NA,NA,NA,"1985","31500",NA,NA
"9","fd-37987182","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37987182.html","clean","437","19  ",NA,NA,NA,"2000","31100","98","11"
"10","fd-39715289","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39715289.html","clean","470","19  ",NA,NA,NA,NA,"31300","65","13"
"11","fd-36094440","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36094440.html","clean","470","18  ",NA,NA," 1","1940","31500","16","13"
"12","fd-39296679","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39296679.html","clean","473","28  ",NA,NA,NA,"1989","31500","30","10"
"13","fd-39518977","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39518977.html","clean","490","27  ","2","1"," 1",NA,"31500",NA,NA
"14","fd-38849029","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38849029.html","clean","450","20  ",NA,NA," 1","1930","31400","12","10"
"15","fd-38054100","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38054100.html","clean","420","21  ",NA,NA," 1","1900","31300",NA,NA
"16","fd-39704321","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39704321.html","clean","463","18  ",NA,"1",NA,NA,"31300","91","46"
"17","fd-28290717","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-28290717.html","clean","442","23  ",NA,NA,NA,NA,"31400","20",NA
"18","fd-39177192","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39177192.html","clean","450","20  ",NA,NA," 1",NA,"31500","51","13"
"19","fd-39696207","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39696207.html","clean","473","27  ",NA,NA,NA,NA,"31400","96","6"
"20","fd-39403427","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39403427.html","clean","450","25  ",NA,NA," 3",NA,"31000",NA,NA
"21","fd-39694329","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39694329.html","clean","430","16  ",NA,NA," 2","1900","31000",NA,NA
"22","fd-39694326","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39694326.html","clean","495","20  ",NA,NA,NA,"1949","31400","83","19"
"23","fd-39470853","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39470853.html","clean","380","75  ","4","3"," 1","1970","31100","78","61"
"24","fd-39477764","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39477764.html","clean","462","24  ",NA,NA,NA,"1900","31000","30","20"
"25","fd-39636789","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39636789.html","clean","413","16  ",NA,"1"," 2",NA,"31300","32","30"
"26","fd-38739312","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38739312.html","clean","435","11  ",NA,NA,NA,NA,"31000","22","22"
"27","fd-39684024","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39684024.html","clean","467","26  ",NA,NA,NA,NA,"31200","32","9"
"28","fd-39187420","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39187420.html","clean","415","14  ",NA,NA,NA,NA,"31400","30","20"
"29","fd-39683707","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39683707.html","clean","500","17  ",NA,NA,NA,NA,"31000","30","20"
"30","fd-39426628","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39426628.html","clean","460","19  ",NA,NA,NA,NA,"31300","50","5"
"31","fd-39210393","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39210393.html","clean","441","15  ",NA,NA,NA,NA,"31000",NA,NA
"32","fd-39210394","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39210394.html","clean","430","24  ",NA,NA,NA,NA,"31000",NA,NA
"33","fd-39118245","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39118245.html","clean","460","20  ",NA,NA,NA,NA,"31000",NA,NA
"34","fd-35960440","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-35960440.html","clean","400","57  ","4",NA,NA,NA,"31300",NA,NA
"35","fd-38067160","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38067160.html","clean","400","90  ","2",NA,NA,NA,"31000",NA,NA
"36","fd-39680030","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39680030.html","clean","459","17  ",NA,NA," 3","2017","31000",NA,NA
"37","fd-39676613","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39676613.html","clean","480","19  ",NA,NA," 2","1970","31300","79","16"
"38","fd-39180600","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39180600.html","clean","480","24  ",NA,NA,NA,"1900","31400",NA,NA
"39","fd-39295223","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39295223.html","clean","385","11  ",NA,NA," 3",NA,"31000","96","23"
"40","fd-39258503","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39258503.html","clean","500","19  ",NA,NA,NA,NA,"31400",NA,NA
"41","fd-38309261","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38309261.html","clean","500","21  ",NA,NA,NA,NA,"31400",NA,NA
"42","fd-30219252","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-30219252.html","clean","479","18  ",NA,NA," 5",NA,"31000","30","10"
"43","fd-39663192","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39663192.html","clean","440","20  ",NA,NA," 2",NA,"31400",NA,NA
"44","fd-39391797","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39391797.html","clean","490","20  ",NA,NA,NA,NA,"31300","95","15"
"45","fd-38797232","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38797232.html","clean","450","82  ","3","2",NA,NA,"31500","22","52"
"46","fd-38923426","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38923426.html","clean","465","25  ",NA,NA,NA,NA,"31400",NA,NA
