"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"2","fd-39536359","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39536359.html","clean","498","36  ","2","1",NA,"2009","31400","78","7"
"3","fd-39513958","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39513958.html","clean","431","21  ",NA,NA," 1","1996","31000","70","10"
"4","fd-39731606","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39731606.html","clean","403","18  ",NA,NA," 2","1991","31400","74","14"
"5","fd-38994659","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38994659.html","clean","457","29  ","2","1"," 2","1900","31400",NA,"5"
"6","fd-39305621","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39305621.html","clean","447","30  ",NA,NA,NA,"1989","31400","26","9"
"7","fd-39101982","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39101982.html","clean","410","27  ",NA,NA,NA,"1930","31500",NA,"5"
"8","fd-38994661","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38994661.html","clean","474","34  ","2","1"," 2","1900","31500","67","01"
"9","fd-39704582","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39704582.html","clean","450","30  ","2","1"," 1","1930","31500","46","66"
"10","fd-39306066","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39306066.html","clean","474","24  ",NA,NA," 3","1900","31000","69","51"
"11","fd-39661238","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39661238.html","clean","421","19  ",NA,NA," 2","1900","31000",NA,"5"
"12","fd-39180411","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39180411.html","clean","459","22  ",NA,NA," 1","1985","31400","46","9"
"13","fd-39329381","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39329381.html","clean","458","22  ",NA,"1"," 2","1979","31400","66","21"
"14","fd-39560140","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39560140.html","clean","496","24  ",NA,"1"," 2","1989","31400","86","13"
"15","fd-39135898","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39135898.html","clean","460","16  ",NA,NA," 2","1945","31000",NA,"5"
"16","fd-39157258","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39157258.html","clean","496","31  ",NA,NA," 2","1986","31400","01","45"
"17","fd-39642660","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39642660.html","clean","377","20  ",NA,NA," 1","1988","31400","03","12"
"18","fd-39642659","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39642659.html","clean","478","31  ",NA,NA,NA,"1989","31400","77","8"
"19","fd-37331646","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37331646.html","clean","475","35  ","2","1",NA,"2001","31500","85","13"
"20","fd-38247519","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38247519.html","clean","462","30  ",NA,NA,NA,"1991","31000","21","98"
"21","fd-38709797","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38709797.html","clean","470","20  ",NA,NA," 2",NA,"31000",NA,"5"
"22","fd-39438718","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39438718.html","clean","401","19  ",NA,NA,NA,"1975","31000","03","57"
"23","fd-38994662","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38994662.html","clean","448","15  ",NA,NA," 2","1930","31500",NA,"5"
"24","fd-39688830","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39688830.html","clean","430","19  ",NA,NA," 5","1990","31000","02","13"
"25","fd-39688716","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39688716.html","clean","483","29  ",NA,NA," 2","2014","31400","99","93"
"26","fd-39733288","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39733288.html","clean","465","24  ",NA,NA," 2",NA,"31500","84","28"
"29","fd-39640756","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39640756.html","clean","498","41  ","2","1",NA,"2008","31200","24","11"
"30","fd-39006705","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39006705.html","clean","375","22  ",NA,NA,NA,NA,"31400",NA,NA
"31","fd-39638393","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39638393.html","clean","418","22  ",NA,NA," 4","1989","31300","65","11"
"32","fd-39721965","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39721965.html","clean","453","35  ",NA,NA," 2","1901","31200","41",NA
"33","fd-39722080","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39722080.html","clean","487","32  ",NA,NA," 1","2009","31400","47","5"
"34","fd-39722079","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39722079.html","clean","353","19  ",NA,NA," 5","2011","31400","34","8"
"35","fd-39483568","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39483568.html","clean","448","31  ",NA,NA," 1",NA,"31000","77","12"
"36","fd-39697553","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39697553.html","clean","335","22  ",NA,NA," 1","2015","31200","54","83"
"37","fd-38987918","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38987918.html","clean","495","43  ","2","1",NA,"2006","31400","75","12"
"42","fd-39554142","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39554142.html","clean","480","32  ","2","1",NA,NA,"31200","94","6"
